GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.loyalty.service_admin.infrastructure.logging,CorrelationIdFilter,0,29,0,4,0,9,0,4,0,2
,com.loyalty.service_admin.infrastructure.exception,ResourceNotFoundException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,UnauthorizedException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,ApiKeyNotFoundException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,ConflictException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,BadRequestException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,AuthorizationException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,GlobalExceptionHandler,0,167,1,3,0,30,1,18,0,17
,com.loyalty.service_admin.infrastructure.exception,ApiErrorResponse,0,21,0,0,0,1,0,1,0,1
,com.loyalty.service_admin.infrastructure.exception,EcommerceNotFoundException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.exception,ConfigurationAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
,com.loyalty.service_admin.infrastructure.exception,ConfigurationNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.loyalty.service_admin.infrastructure.exception,ClassificationValidationException,0,9,0,0,0,4,0,2,0,2
,com.loyalty.service_admin.infrastructure.messaging.rabbitmq,RabbitMqEcommerceAdapter,0,26,0,0,0,9,0,3,0,3
,com.loyalty.service_admin.application.validation,ContinuityValidator.RangeData,8,9,0,0,1,1,1,1,1,1
,com.loyalty.service_admin.application.validation,DiscountPriorityValidator,0,86,0,14,0,21,0,9,0,2
,com.loyalty.service_admin.application.validation,UniquePriorityValidator,9,108,3,9,0,23,4,11,1,8
,com.loyalty.service_admin.application.validation,HierarchyValidator,9,115,3,9,0,25,4,10,1,7
,com.loyalty.service_admin.application.validation,ConfigurationBusinessValidator,34,153,6,20,7,35,7,16,2,8
,com.loyalty.service_admin.application.validation,ContinuityValidator,50,183,6,12,2,36,9,14,4,10
,com.loyalty.service_admin.application.validation,ConfigurationBusinessValidator.PriorityPair,0,9,0,0,0,1,0,1,0,1
,com.loyalty.service_admin.infrastructure.persistence,JsonbConverter,0,37,0,2,0,11,0,4,0,3
,com.loyalty.service_admin.infrastructure.config,RabbitMQClassificationAdminConfig,11,0,0,0,5,0,2,0,2,0
,com.loyalty.service_admin.infrastructure.config,RuleEventProducerConfig,51,0,0,0,16,0,7,0,7,0
,com.loyalty.service_admin.infrastructure.config,DataInitializer,57,0,2,0,18,0,5,0,4,0
,com.loyalty.service_admin.infrastructure.config,WebMvcConfig,0,86,0,0,0,11,0,2,0,2
,com.loyalty.service_admin.infrastructure.config,RabbitMQConfig,241,0,4,0,45,0,24,0,22,0
,com.loyalty.service_admin.infrastructure.config,AuthenticationFilter,0,209,0,14,0,48,0,12,0,5
,com.loyalty.service_admin.application.dto.customertier,CustomerTierUpdateRequest,0,9,0,0,0,1,0,1,0,1
,com.loyalty.service_admin.application.dto.customertier,CustomerTierResponse,0,24,0,0,0,1,0,1,0,1
,com.loyalty.service_admin.application.dto.customertier,CustomerTierCreateRequest,0,12,0,0,0,1,0,1,0,1
,com.loyalty.service_admin.application.dto.classificationrule,ClassificationRuleUpdateRequest,32,34,13,5,5,4,8,2,0,1
,com.loyalty.service_admin.application.dto.classificationrule,ClassificationRuleCreateRequest,17,52,11,7,2,7,8,2,0,1
